Language,User_id,User_login
Python,726075,nealwu
Python,35853368,pkulzc
Python,1195088,derekjchow
Python,20667461,cshallue
Python,684901,lukaszkaiser
Python,126883,tombstone
Python,23486130,tfboyd
Python,577277,martinwicke
Python,8157164,mari-linhares
Python,1414837,MarkDaoust
Python,16018,asimshankar
Python,1811449,jch1
Python,3709715,cclauss
Python,667809,karmel
Python,10914374,bousmalis
Python,14897069,a-dai
Python,6020988,joel-shor
Python,3701985,bogatyy
Python,2887803,panyx0718
Python,1766524,sguada
Python,5118881,qlzh727
Python,2469592,itsmeolivia
Python,1524085,alexgorban
Python,23010630,korrawat
Python,13089297,robieta
Python,13385191,shlens
Python,6596957,elibixby
Python,8865549,YknZhu
Python,12239154,nmjohn
Python,93609,waterson
,3771963,jwasham
,24354489,avizmarlon
,13459501,YoSaucedo
,9573300,aleen42
,14087177,strollkim
,4788852,dossorio
,8386780,letientai299
,11988820,SaurabhMhaisekar
,8622362,sqrthree
,17244623,antonia0912
,3205036,marceloogeda
,16518410,Carmezim
,17553085,wilkoklak
,19757350,santosomichael
,15160023,rvlewerissa
,3388047,dangkhoasdc
,18553752,Hanney-Ryu
,66017,PavloKapyshin
,1225198,Newt0n
,1147941,Glowin
,18183671,daveleee
,11834902,d1mnewz
,2759269,amoulkaf
,5913521,dapp1990
,8542502,dikiaap
,500289,kindraywind
,11425102,ladrift
,9578,albertux
,6960407,AyaAzzam
,5458997,donnemartin
JavaScript,810438,gaearon
JavaScript,616428,Timer
JavaScript,497214,fson
JavaScript,197597,vjeux
JavaScript,9636410,viankakrisna
JavaScript,7525670,mxstbr
JavaScript,433725,iansu
JavaScript,1060398,tharakawj
JavaScript,663755,EnoahNetzach
JavaScript,56288,existentialism
JavaScript,9244507,ro-savage
JavaScript,647452,GreenGremlin
JavaScript,51629,ryansully
JavaScript,23718874,doshisid
JavaScript,5140611,tuchk4
JavaScript,4683867,bondz
JavaScript,1749548,jeffposnick
JavaScript,155392,n3tr
JavaScript,1239401,johann-sonntagbauer
JavaScript,106475,lacker
JavaScript,25927814,bradfordlemley
JavaScript,33141,andriijas
JavaScript,505704,dceddia
JavaScript,285899,eliperelman
JavaScript,1260646,ForbesLindesay
JavaScript,5729175,GAumala
